Name,Stars,Rating,Review,Price,Description,Image_Link,URL
"Nothing Phone (1) (Black, 256 GB)",4.3,"6,186",710,"₹35,999","12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 50MP | 16MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragon 778G+ ProcessorMeet the Glyph Interface. A New Way to Communicate1 Billion Colours, True-to-Life Full HD Flexible OLED Display with HDR10+ for Richer Colour and Deeper Contrasts.1 Year Warranty",https://rukminim1.flixcart.com/image/312/312/l5h2xe80/mobile/5/x/r/-original-imagg4xza5rehdqv.jpeg?q=70,https://flipkart.com/nothing-phone-1-black-256-gb/p/itmeea53a564de47?pid=MOBGCYGPXKY9H62J&lid=LSTMOBGCYGPXKY9H62JOABLMR&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGCYGPXKY9H62J.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"IQOO Neo 6 5G (Cyber Rage, 256 GB)",4.4,310,38,"₹33,790",12 GB RAM | 256 GB ROM16.81 cm (6.62 inch) Display64MP Rear Camera4700 mAh Battery1 Year,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/c/o/-original-imagg59gzac7ypwh.jpeg?q=70,https://flipkart.com/iqoo-neo-6-5g-cyber-rage-256-gb/p/itm77834ad6719bb?pid=MOBGHBNGJGBPH3MF&lid=LSTMOBGHBNGJGBPH3MFDPLW93&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGHBNGJGBPH3MF.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"OnePlus 10R 5G (Forest Green, 128 GB)",4.3,"1,569",139,"₹35,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery12 months,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,https://flipkart.com/oneplus-10r-5g-forest-green-128-gb/p/itmccf45a394ea16?pid=MOBGEYQYTGBKEVAA&lid=LSTMOBGEYQYTGBKEVAAHUULH2&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGEYQYTGBKEVAA.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 256 GB)",4,469,55,"₹36,990",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery12 months,https://rukminim1.flixcart.com/image/312/312/kyoqmq80/mobile/f/m/b/11t-pro-5g-11t-mi-original-imagauz3cr3wzrhg.jpeg?q=70,https://flipkart.com/xiaomi-11t-pro-5g-hyperphone-moonlight-white-256-gb/p/itmc9e9597986ec5?pid=MOBGB74URFDJ3EGH&lid=LSTMOBGB74URFDJ3EGHWPSDGQ&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGB74URFDJ3EGH.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"realme GT Neo 3 (Asphalt Black, 256 GB)",4.1,817,133,"₹38,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryMediatek Dimensity 8100 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/mobile/h/a/n/-original-imagetmezh7hj2zk.jpeg?q=70,https://flipkart.com/realme-gt-neo-3-asphalt-black-256-gb/p/itmeaf638d4d125d?pid=MOBGDCFZQQTNPAH4&lid=LSTMOBGDCFZQQTNPAH4NGN46T&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGDCFZQQTNPAH4.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"IQOO 9 5G (Phoenix, 128 GB)",4.1,79,6,"₹34,990",8 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Display48MP + 48MP + 13MP + 13MP | 16MP + 16MP Dual Front Camera4350 mAh Battery1 Year,https://rukminim1.flixcart.com/image/312/312/l5ld8y80/mobile/t/o/y/9-5g-i2017-iqoo-original-imagg8bbhfrrgffm.jpeg?q=70,https://flipkart.com/iqoo-9-5g-phoenix-128-gb/p/itm110e7ab2f437e?pid=MOBGG8U7H6RGBJVZ&lid=LSTMOBGG8U7H6RGBJVZQJE50F&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGG8U7H6RGBJVZ.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"OnePlus 10R 5G (Sierra Black, 256 GB)",4.2,849,61,"₹37,899",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/d/t/-original-imaggceexfwc4huw.jpeg?q=70,https://flipkart.com/oneplus-10r-5g-sierra-black-256-gb/p/itmccf45a394ea16?pid=MOBGHBZHPKYXW8PA&lid=LSTMOBGHBZHPKYXW8PADRWHMV&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGHBZHPKYXW8PA.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"realme GT 2 (Steel Black, 256 GB)",4.3,"1,153",157,"₹38,999",12 GB RAM | 256 GB ROM16.81 cm (6.62 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 888 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/mobile/2/l/k/-original-imagetmebhg9thpv.jpeg?q=70,https://flipkart.com/realme-gt-2-steel-black-256-gb/p/itmac4c08a9eb2da?pid=MOBGDAT7WGRC9YGQ&lid=LSTMOBGDAT7WGRC9YGQEELT68&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGDAT7WGRC9YGQ.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"OnePlus 10R 5G (Sierra Black, 256 GB)",4.2,849,61,"₹40,699",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4500 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/b/s/-original-imaggceexfwc4huw.jpeg?q=70,https://flipkart.com/oneplus-10r-5g-sierra-black-256-gb/p/itmccf45a394ea16?pid=MOBGGA29CAYJC3QH&lid=LSTMOBGGA29CAYJC3QHGQNS6L&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGGA29CAYJC3QH.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"vivo V23 Pro 5G (Stardust Black, 128 GB)",4.3,"3,755",410,"₹38,990",8 GB RAM | 128 GB ROM | Expandable Upto 12 GB16.66 cm (6.56 inch) Full HD+ Display108MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera4300 mAh Lithium BatteryMediatek Dimensity 1200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,https://rukminim1.flixcart.com/image/312/312/ky0g58w0/mobile/a/n/d/-original-imagabvqhyaah4vh.jpeg?q=70,https://flipkart.com/vivo-v23-pro-5g-stardust-black-128-gb/p/itmf5550a0e86c82?pid=MOBGA25PHHN2GUWD&lid=LSTMOBGA25PHHN2GUWDF8BAT3&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGA25PHHN2GUWD.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"realme GT Neo 3 (Nitro Blue, 128 GB)",4.1,817,133,"₹36,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryMediatek Dimensity 8100 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/mobile/a/f/2/-original-imagetmecznbydne.jpeg?q=70,https://flipkart.com/realme-gt-neo-3-nitro-blue-128-gb/p/itmeaf638d4d125d?pid=MOBGDCFZKSFUTWRC&lid=LSTMOBGDCFZKSFUTWRCECMRNZ&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGDCFZKSFUTWRC.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"OnePlus 10R 5G (Forest Green, 128 GB)",4.3,"1,569",139,"₹35,990",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/i/e/-original-imaggceehhfzkfgd.jpeg?q=70,https://flipkart.com/oneplus-10r-5g-forest-green-128-gb/p/itmccf45a394ea16?pid=MOBGJMUHAHZN7QUP&lid=LSTMOBGJMUHAHZN7QUPE0DHVQ&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBGJMUHAHZN7QUP.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"Mi 10T (Cosmic Black, 128 GB)",4.2,"4,021",564,"₹35,999",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 5MP | 20MP Front Camera5000 mAh Li-ion Polymer BatteryQualcomm Snapdragon 865 Processor144Hz Intelligent AdaptiveSync Display33W Dual Split Flash Charge1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories,https://rukminim1.flixcart.com/image/312/312/kg6vfrk0/mobile/h/m/z/mi-10t-mzb07zain-original-imafwhbyyvhd3g9v.jpeg?q=70,https://flipkart.com/mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZPGHZSHA7&lid=LSTMOBFWAFZPGHZSHA7ZOPND9&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBFWAFZPGHZSHA7.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
"realme GT 5G (Dashing Silver, 128 GB)",4.3,490,79,"₹37,999",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 16MP Front Camera4500 mAh BatteryQualcomm Snapdragon 888 Processor1 Year Warranty for Mobile and 6 Months for Accessories,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/mobile/f/z/n/-original-imagetme3gzbnc3z.jpeg?q=70,https://flipkart.com/realme-gt-5g-dashing-silver-128-gb/p/itm9ae1d9198cd93?pid=MOBG5JPXBD9A6FTC&lid=LSTMOBG5JPXBD9A6FTCORQUW6&marketplace=FLIPKART&q=mobiles+under+40000&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=7c96898d-444d-4014-b2cc-cc3e417cdefa.MOBG5JPXBD9A6FTC.SEARCH&ppt=None&ppn=None&ssid=ah3q1yo5e80000001674351774886&qH=21d1d183b6cd5f21
